"country","mean","se","l","u","age"
"Algeria",0.0166833708392671,0.0083191523624061,0.00648748992093373,0.0367678422958945,"20-24"
"American Samoa",0.0679456498467649,0.0407747067887786,0.0193451907058687,0.169635974800731,"20-24"
"Andorra",0.00915793372343882,0.00466533441224643,0.00274909385250728,0.02079704252779,"20-24"
"Angola",0.0104805485357522,0.00682275585009234,0.00266140791930967,0.0271170297555235,"20-24"
"Antigua and Barbuda",0.0128397365325355,0.00799724518628572,0.00322643956768953,0.0335478507192551,"20-24"
"Argentina",0.0122359954616004,0.00633245933053869,0.00379406560992675,0.0288128008554446,"20-24"
"Armenia",0.0143607230060877,0.00718504194696926,0.00484512543695545,0.0316974474279698,"20-24"
"Australia",0.00688784151433312,0.00306721537053876,0.00216627081249413,0.0142249952337693,"20-24"
"Austria",0.00558522437593324,0.00293084698744121,0.00143607435776643,0.0125360255249922,"20-24"
"Azerbaijan",0.015720864180753,0.00825165918099418,0.00523374135344055,0.037383234365786,"20-24"
"Bahamas",0.0145454673556098,0.00778820707113991,0.0042516275275344,0.0340834665646246,"20-24"
"Bahrain",0.0159090343004788,0.00771347967233914,0.00594539683566788,0.0357523942734357,"20-24"
"Bangladesh",0.0133249102564517,0.00653331061967351,0.00472685435879361,0.0290244976213476,"20-24"
"Barbados",0.0133200911968245,0.00748011943371335,0.00379152501383726,0.0313470477465353,"20-24"
"Belarus",0.00935890959329197,0.00550530387488064,0.00232059210184663,0.023697983589244,"20-24"
"Belgium",0.00565804082874679,0.00285369468337369,0.00154343210900149,0.0121736460137485,"20-24"
"Belize",0.0126799445720823,0.00682283369420721,0.00368470138821139,0.029656068878439,"20-24"
"Benin",0.00835588501577553,0.00424969637109818,0.00249914027887884,0.018495556283002,"20-24"
"Bermuda",0.0207108773183965,0.0123744717417592,0.00613410537896492,0.0534614653009133,"20-24"
"Bhutan",0.015578437065691,0.00710948806068072,0.00565927947246173,0.0330026653086774,"20-24"
"Bolivia",0.00801560530495223,0.00485011691652932,0.0018809419400453,0.0194183330136936,"20-24"
"Bosnia and Herzegovina",0.00881491804063902,0.00464244898984966,0.00267292120450531,0.020289418617919,"20-24"
"Botswana",0.0086027940680273,0.00422774045093306,0.00276342657528193,0.0186214630256158,"20-24"
"Brazil",0.00885364402540393,0.00466397042379825,0.00279529529227989,0.0208895550210793,"20-24"
"Brunei Darussalam",0.0109250147328043,0.00571057781188868,0.00324251187410419,0.0252151310848692,"20-24"
"Bulgaria",0.00992873993328704,0.00518287974975714,0.0029170723408808,0.0231829414279379,"20-24"
"Burkina Faso",0.00844658481845234,0.00441218901028121,0.00247877433378597,0.0194866695436586,"20-24"
"Burundi",0.00421541422995211,0.0025692609237411,0.000863911972475866,0.0104092676215931,"20-24"
"Cabo Verde",0.0110211107453856,0.00604312803976143,0.00338742206517245,0.0256312213530182,"20-24"
"Cambodia",0.00846955086229523,0.00426671977427054,0.00264427408390145,0.019172474344729,"20-24"
"Cameroon",0.00746114967427007,0.003944030746259,0.00207764478103171,0.0172559562837232,"20-24"
"Canada",0.00656115981536506,0.00334352018157474,0.0019439131152413,0.0147725189935033,"20-24"
"Central African Republic",0.00973660596460162,0.00661430497472238,0.00252525444708149,0.0261453047230699,"20-24"
"Chad",0.00932355821194233,0.00548087587443711,0.0026783501183803,0.0226032175645698,"20-24"
"Chile",0.0121024181523319,0.00623137116456938,0.00396581261515869,0.0274668355838368,"20-24"
"China",0.0126803296225946,0.0058987967108321,0.00482911362686233,0.0276563960180839,"20-24"
"China (Hong Kong SAR)",0.01129676884446,0.0075268422596685,0.00232406412877092,0.030253120825889,"20-24"
"Colombia",0.00985726053425714,0.00515964249704753,0.00314472345151163,0.0226440223095531,"20-24"
"Comoros",0.00915540413748106,0.00465510399504759,0.00287340418826035,0.0210265029662966,"20-24"
"Congo",0.00912069378311773,0.00642747298337038,0.00215133609391929,0.0252974719167349,"20-24"
"Cook Islands",0.0599864099176933,0.0351551222195602,0.0177360851211876,0.150002658880339,"20-24"
"Costa Rica",0.0106089907632958,0.00569466095760698,0.00322763060654991,0.0247145793995872,"20-24"
